;category;title;description;price;level;img_alt;img_url;product_quantity;product_details;img_src
158;IT I OPROGRAMOWANIE;Kurs Evernote - zwiększ swoją produktywność;Naucz się lepiej zarządzać swoimi notatkami, dokumentami i organizować codzienną pracę dzięki Evernote. Zacznij oszczędzać czas i zwiększ swoją produktywność.;39;Podstawowy;Kurs Evernote - zwiększ swoją produktywność;;1000;15 materiałów treningowych i 17 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_evernote_-_zwieksz_swoja_produktywnosc.jpg
159;IT I OPROGRAMOWANIE;Kurs Power Query - przetwarzanie danych w Excelu;Wykorzystaj Power Query do podejmowania optymalnych decyzji. Zostań ekspertem od pobierania, organizowania oraz analizowania danych.;49;Średniozaawansowany;Kurs Power Query - przetwarzanie danych w Excelu;;1000;20 materiałów treningowych i 26 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_power_query_-_przetwarzanie_danych_w_excelu.jpg
160;IT I OPROGRAMOWANIE;Kurs Programowanie VBA w Excelu dla zaawansowanych;Zacznij wykorzystywać pełny potencjał VBA w Excelu i zautomatyzuj swoją pracę z danymi.;69;Zaawansowany;Kurs Programowanie VBA w Excelu dla zaawansowanych;;1000;23 materiałów treningowych i 50 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_programowanie_vba_w_excelu_dla_zaawansowanych.jpg
161;IT I OPROGRAMOWANIE;Kurs Linux Ubuntu od podstaw;Dowiedz się jak prosto i szybko zmienić swój obecny system na Ubuntu. Naucz się podstaw obsługi Linuxa i opanuj pracę w konsoli.;59;Podstawowy;Kurs Linux Ubuntu od podstaw;;1000;22 materiałów treningowych i 44 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_ubuntu_od_podstaw.jpg
162;IT I OPROGRAMOWANIE;Kurs PowerShell dla administratora Windows;Opanuj linię komend i naucz się automatyzować powtarzalne zadania w systemie Windows wykorzystując możliwości PowerShell.;59;Średniozaawansowany;Kurs PowerShell dla administratora Windows;;1000;20 materiałów treningowych i 38 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_powershell_dla_administratora_windows.jpg
163;IT I OPROGRAMOWANIE;Kurs Wydajna praca z MacOS;Wykorzystaj potencjał aplikacji, które już na starcie znajdziesz w swoim Macu. Opanuj pracę z pakietem biurowym i zaawansowanymi narzędziami MacOS w kilka godzin!;27;Średniozaawansowany;Kurs Wydajna praca z MacOS;;1000;24 materiałów treningowych i 23 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_wydajna_praca_z_macos.jpg
164;IT I OPROGRAMOWANIE;Kurs Todoist - skuteczne planowanie i realizacja zadań;Poznaj sekret produktywności i naucz się efektywnie planować oraz realizować codzienne zadania z Todoist. Zacznij skuteczniej organizować swój dzień, tak aby nie zabrakło Ci czasu!;27;Podstawowy;Kurs Todoist - skuteczne planowanie i realizacja zadań;;1000;20 materiałów treningowych i 21 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_todoist_-_skuteczne_planowanie_i_realizacja_zadan.jpg
165;IT I OPROGRAMOWANIE;Kurs Podstawy bezpieczeństwa w Internecie dla każdego;Dowiedz się jak zabezpieczyć swój komputer i smartfon przed internetowymi oszustami. Poznaj metody działań cyberprzestępców i naucz się przed nimi skutecznie bronić.;59;Podstawowy;Kurs Podstawy bezpieczeństwa w Internecie dla każdego;;1000;34 materiałów treningowych i 20 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_podstawy_bezpieczenstwa_w_sieci_dla_kazdego.jpg
166;IT I OPROGRAMOWANIE;Kurs MikroTik - administracja siecią od podstaw;Skonfiguruj swój domowy router od podstaw i zyskaj pełną kontrolę na swoją siecią domową. Zdobądź wiedzę na temat MikroTik’a jednego z najbardziej elastycznych producentów sprzętu sieciowego na rynku.;69;Podstawowy;Kurs MikroTik - administracja siecią od podstaw;;1000;24 materiałów treningowych i 25 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_mikrotik_-_administracja_siecia_od_podstaw.jpg
167;IT I OPROGRAMOWANIE;Kurs Podstawy Networkingu oraz konfiguracji sieci w Linux;Dowiedz się wszystkiego na temat konfiguracji sieci w Linuxie. Zdobądź praktyczną wiedzę na temat networkingu, niezbędną w pracy administratora oraz inżyniera sieci.;69;Podstawowy;Kurs Podstawy Networkingu oraz konfiguracji sieci w Linux;;1000;21 materiałów treningowych i 50 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_podstawy_networkingu_oraz_konfiguracji_sieci_w_linux.jpg
