	category	title	description	price	level	lectures_count	training_materials_count	img_alt
33	programowanie	Kurs Błyskawiczne tworzenie stron z Tailwind CSS	Naucz się budować nowoczesne, responsywne strony internetowe tak szybko, jak nigdy dotąd. Poznaj bardzo popularny framework Tailwind CSS i naucz się wykorzystywać jego potężne możliwości.	69	Średniozaawansowany	35	20	Kurs Błyskawiczne tworzenie stron z Tailwind CSS
34	programowanie	Kurs Przetwarzanie języka naturalnego z Python	Naucz się przetwarzania języka naturalnego w Python i rozwiązywania realnych problemów za pomocą algorytmów NLP.	79	Zaawansowany	40	20	Kurs Przetwarzanie języka naturalnego z Python
35	programowanie	Kurs Metodologia BEM - jak pisać dobry kod CSS	Opanuj metodologię BEM CSS i naucz się szybciej tworzyć nowoczesne, responsywne strony i aplikacje webowe.	69	Średniozaawansowany	35	20	Kurs Metodologia BEM - jak pisać dobry kod CSS
36	programowanie	Kurs SwiftUI - nowe podejście w tworzeniu aplikacji	Poznaj SwiftUI i wykorzystaj nowoczesne podejście do tworzenia aplikacji na iOS i inne platformy Apple.	69	Podstawowy	55	30	Kurs SwiftUI - nowe podejście w tworzeniu aplikacji
37	programowanie	Kurs Github - zdalne repozytoria od podstaw	Naucz sprawnej pracy z kodem wykorzystując GitHub. Dowiedz się jak zarządzać repozytoriami, tworzyć dokumentację projektów i wiele więcej.	69	Podstawowy	29	20	Kurs Github - zdalne repozytoria od podstaw
38	programowanie	Kurs Ansible - automatyzacja zadań w praktyce	Poznaj techniki automatyzacji zadań z Ansible. Raz na zawsze skończ z manualną konfiguracją i pracochłonnym wdrażaniem aplikacji.	59	Podstawowy	41	20	Kurs Ansible - automatyzacja zadań w praktyce
39	programowanie	Kurs Wyrażenia regularne - od podstaw do eksperta	Opanuj potężne możliwości wyrażeń regularnych. Zdobądź uniwersalną wiedzę o RegEx, którą zastosujesz w każdej technologii i języku programowania.	59	Średniozaawansowany	29	23	Kurs Wyrażenia regularne - od podstaw do eksperta
40	programowanie	Kurs JAVA - programowanie wielowątkowe i optymalizacja aplikacji	Opanuj najważniejsze techniki programowania wielowątkowego. Dowiedz się jak pisać aplikacje, które optymalnie wykorzystują możliwości platformy sprzętowej.	59	Średniozaawansowany	39	24	Kurs JAVA - programowanie wielowątkowe i optymalizacja aplikacji
41	programowanie	Wprowadzenie do blockchain - Ethereum i smart kontrakty w praktyce	Opanuj platformę Ethereum i zacznij tworzyć własne aplikacje oparte na blockchain. Poznaj język  Solidity i dowiedz się jak pisać smart kontrakty.	49	Podstawowy	35	20	Wprowadzenie do blockchain - Ethereum i smart kontrakty w praktyce
42	programowanie	Kurs Machine Learning - projektowanie sieci neuronowych	Dowiedz się jak w praktyce wykorzystać sieci neuronowe. Rozwiń swoją wiedzę na temat Machine Learning i twórz zaawansowane i dobrze zoptymalizowane algorytmy sztucznej inteligencji.	69	Średniozaawansowany	35	26	Kurs Machine Learning - projektowanie sieci neuronowych
43	programowanie	Kurs Docker dla zaawansowanych	Opanuj zaawansowane techniki pracy z Dockerem i zdobądź umiejętności niezbędne do sprawnej implementacji procesów CI/CD.	69	Zaawansowany	47	26	Kurs Docker dla zaawansowanych
44	programowanie	Kurs Programowanie w Python dla dzieci i młodzieży	Naucz się programowania w Pythonie od zera. Niezależnie od wieku i Twojego poziomu doświadczenia, z tym kursem zrobisz pierwszy krok, który pozwoli Ci pisać własne programy.	69	Podstawowy	56	23	Kurs Programowanie w Python dla dzieci i młodzieży
45	programowanie	Kurs WooCommerce - sklep internetowy krok po kroku	Zbuduj profesjonalny sklep z WooCommerce i przenieś swój biznes do internetu. Zacznij sprzedawać online dowolne produkty fizyczne lub wirtualne.	99	Podstawowy	52	21	Kurs WooCommerce - sklep internetowy krok po kroku
46	programowanie	Kurs Power Pivot - analiza i modelowanie danych w Excelu	Wykorzystaj możliwości Power Pivot i naucz się optymalnie przetwarzać, analizować i modelować dowolne dane w Excelu. 	59	Średniozaawansowany	20	20	Kurs Power Pivot - analiza i modelowanie danych w Excelu
47	programowanie	Kurs Machine Learning - drzewa decyzyjne i lasy losowe	Opanuj drzewa decyzyjne i zdobądź praktyczne umiejętności modelując zbiory danych. Naucz się rozwiązywać realne problemy dzięki uczeniu maszynowemu.	79	Średniozaawansowany	40	20	Kurs Machine Learning - drzewa decyzyjne i lasy losowe
48	programowanie	Kurs Power Query - przetwarzanie danych w Excelu	Wykorzystaj Power Query do podejmowania optymalnych decyzji. Zostań ekspertem od pobierania, organizowania oraz analizowania danych.	49	Średniozaawansowany	26	20	Kurs Power Query - przetwarzanie danych w Excelu
49	programowanie	Kurs Programowanie VBA w Excelu dla zaawansowanych	Zacznij wykorzystywać pełny potencjał VBA w Excelu i zautomatyzuj swoją pracę z danymi.	69	Zaawansowany	50	23	Kurs Programowanie VBA w Excelu dla zaawansowanych
50	programowanie	Kurs Xcode dla iOS developera	Opanuj skróty i techniki, dzięki którym będziesz sprawniej tworzyć aplikacje w środowisku Xcode. Zdobądź umiejętności niezbędne każdemu developerowi iOS.	30	Średniozaawansowany	56	20	Kurs Xcode dla iOS developera
51	programowanie	Kurs Spring Boot i JavaFX - praktyczny projekt	Rozwiń swoje umiejętności programowania, tworząc projekt oparty o nowoczesne technologie Javowe: JavaFX i SpringBoot. Stwórz współpracujące ze sobą aplikacje desktopowe oraz serwerowe.	59	Zaawansowany	47	23	Kurs Spring Boot i JavaFX - praktyczny projekt
52	programowanie	Kurs PowerShell dla administratora Windows	Opanuj linię komend i naucz się automatyzować powtarzalne zadania w systemie Windows wykorzystując możliwości PowerShell.	59	Średniozaawansowany	38	20	Kurs PowerShell dla administratora Windows
53	programowanie	Kurs Xamarin - tworzenie aplikacji cross-platformowych	Opanuj tworzenie aplikacji cross-platformowych z Xamarin.Forms. Naucz się szybko programować aplikacje za pomocą tego samego kodu na urządzenia z iOS i Androidem.	69	Podstawowy	41	22	Kurs Xamarin - tworzenie aplikacji cross-platformowych
54	programowanie	Kurs Tworzenie aplikacji na iOS w praktyce	Naucz się technik tworzenia aplikacji iOS na przykładzie realnych i praktycznych projektów. Dowiedz się jak programować responsywne aplikacje na urządzenia mobilne od Apple.	59	Średniozaawansowany	51	22	Kurs Tworzenie aplikacji na iOS w praktyce
55	programowanie	Fundamenty programowania w języku Swift	Poznaj od podstaw język Swift niezbędny do tworzenia aplikacji dla platformę iOS. Zdobądź umiejętności, które pozwolą Ci kodować własne aplikacje.	49	Podstawowy	45	25	Fundamenty programowania w języku Swift
56	programowanie	Kurs Laravel od podstaw - programowanie aplikacji w PHP	Opanuj pracę z Laravel i twórz aplikacje w najlepszym frameworku PHP.	59	Podstawowy	66	26	Kurs Laravel od podstaw - programowanie aplikacji w PHP
57	programowanie	Kurs Machine Learning w Python - wprowadzenie do sztucznej inteligencji	Dowiedz się jak w praktyczny sposób wejść w świat Machine Learning w Python, rozwiązywać problemy za pomocą sztucznej inteligencji, wykorzystywać zbiory danych, testować modele uczenia maszynowego.	79	Podstawowy	49	21	Kurs Machine Learning w Python - wprowadzenie do sztucznej inteligencji
58	programowanie	Kurs Data Science w Python - wprowadzenie do analizy danych	Dowiedz się jak wykorzystać wszechstronność Pythona w analizie danych. Poznaj narzędzia, które pozwolą Ci pewnym krokiem wejść w świat Data Science. 	79	Średniozaawansowany	45	23	Kurs Data Science w Python - wprowadzenie do analizy danych
59	programowanie	Kurs JAVA dla zielonych	Naucz się języka JAVA od „zera” - do płynnego poruszania się w instrukcjach, metodach oraz klasach i obiektach!	69	Podstawowy	52	20	Kurs JAVA dla zielonych
60	programowanie	Kurs Bezpieczne aplikacje JAVA	Wykorzystaj możliwości Spring Security, aby zabezpieczyć Twoje aplikacje przed powszechnymi atakami.	49	Średniozaawansowany	29	20	Kurs Bezpieczne aplikacje JAVA
61	programowanie	Fundamenty programowania w języku Go	Naucz się programować w języku, który umożliwia łatwe tworzenie wydajnych i niezawodnych aplikacji. Zdobądź wiedzę, która pozwoli Ci swobodnie pisać kod w języku Go.	30	Podstawowy	50	21	Fundamenty programowania w języku Go
62	programowanie	Kurs Symfony 5 - praktyczny projekt od podstaw	Poznaj najnowszą wersję Symfony i zbuduj własną funkcjonalną aplikację webową.	69	Podstawowy	48	30	Kurs Symfony 5 - praktyczny projekt od podstaw
63	programowanie	Kurs Spring Framework dla zaawansowanych	Rozwiń swoje umiejętność pracy ze Spring. Poznaj zaawansowane techniki, dzięki którym będziesz tworzyć jeszcze lepsze aplikacje.	59	Zaawansowany	42	20	Kurs Spring Framework dla zaawansowanych
64	programowanie	Kurs Git dla zaawansowanych	Rozwiń swoje umiejętności pracy z najpopularniejszym systemem kontroli wersji. Poznaj zaawansowane techniki i zostań ekspertem Git!	36	Zaawansowany	39	20	Kurs Git dla zaawansowanych
65	programowanie	Kurs Jira od podstaw - zarządzanie projektami	Naucz się efektywnej pracy zespołowej i zarządzania projektami w Jira. Poznaj elementy metodyk zwinnych i opanuj workflow będący standardem w większości firm na rynku.	69	Podstawowy	33	25	Kurs Jira od podstaw - zarządzanie projektami
66	programowanie	Kurs Git dla początkujących	Koduj sprawniej, oszczędzaj czas, unikaj niepotrzebnych błędów i stresu, dzięki git, najlepszemu systemowi kontroli wersji na rynku!	59	Podstawowy	28	23	Kurs Git dla początkujących
67	programowanie	Kurs PrestaShop 1.7 - jak założyć sklep internetowy	Zbuduj własny sklep internetowy i zacznij sprzedawać online! Dowiedz się jak dodawać produkty, podpiąć system płatności, udostępnić różne metody wysyłki oraz zarządzać zamówieniami i klientami.	79	Podstawowy	50	20	Kurs PrestaShop 1.7 - jak założyć sklep internetowy
68	programowanie	Kurs React od podstaw	Poznaj dobre praktyki tworzenia nowoczesnych aplikacji webowych z wykorzystaniem jednego z najlepszych frameworków front-endowych, jakim jest React!	59	Podstawowy	53	22	Kurs React od podstaw
69	programowanie	Fundamenty Test Driven Development	Zrozum koncepcję metodyki TDD i ideę programowania sterowanego testami. Wykorzystaj zdobytą wiedzę, by tworzyć wysokiej jakości kod, który będzie wolny od błędów i łatwy w utrzymaniu.	18	Średniozaawansowany	39	20	Fundamenty Test Driven Development
